version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,kingpro,baseline,v0+p27467914bc4d+t86e19195220e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,86e19195220e2c3deba00196baa9d00bd06380b4317f92a4b5c6a302ff616bdb,Measure unchanged starter behavior before optimization.,Measure unchanged starter behavior before optimization.,case_accuracy,,0.7,artifacts/evidence/runs/v0_B_base_openai_20260915T201903722130.json
v1,kingpro,system_prompt.md,v1+p01a5a53c8c54+t86e19195220e,01a5a53c8c54ad3db738e598139501cb6cec299e04ac1ec946f57c9efe5315d2,86e19195220e2c3deba00196baa9d00bd06380b4317f92a4b5c6a302ff616bdb,"Clarify tool ownership, missing identifiers, and latest intent.","Clarify tool ownership, missing identifiers, and latest intent.",case_accuracy,0.7,0.7333,artifacts/evidence/runs/v1_B_base_openai_20260915T201958266680.json
v2,kingpro,tools.yaml,v2+p01a5a53c8c54+t820453eb44db,01a5a53c8c54ad3db738e598139501cb6cec299e04ac1ec946f57c9efe5315d2,820453eb44dba0d98b4f0292ab38d54566efd1aff0093784601e2663e984ebc4,Add use/avoid guidance and stricter schemas for routing and arguments.,Add use/avoid guidance and stricter schemas for routing and arguments.,case_accuracy,0.7333,0.9,artifacts/evidence/runs/v2_B_base_openai_20260915T202049658042.json
v3,kingpro,system_prompt.md,v3+p596719b51b1c+t820453eb44db,596719b51b1cf8de30b4f53e344736a507f2c2bbc82cbc850977a4a13abf09b2,820453eb44dba0d98b4f0292ab38d54566efd1aff0093784601e2663e984ebc4,"Add confirmation provenance, cancellation, injection, privacy, ambiguity, and safe-local-only gates.","Add confirmation provenance, cancellation, injection, privacy, ambiguity, and safe-local-only gates.",case_accuracy,0.9,0.8333,artifacts/evidence/runs/v3_B_base_openai_20260915T202613573623.json
v4,kingpro,tools.yaml,v4+p596719b51b1c+t057bc9b3211b,596719b51b1cf8de30b4f53e344736a507f2c2bbc82cbc850977a4a13abf09b2,057bc9b3211b268068a68918cf376edb0f91770c81e7a6a1ea1f72c8635e31cb,Keep v3 prompt fixed and add a no-key allowlisted public status API.,Keep v3 prompt fixed and add a no-key allowlisted public status API.,bonus_case_accuracy,,1.0,artifacts/evidence/runs/v4_B_extension_openai_20260915T202647918060.json
